Feature,Importance
Response Delay – Node 3,0.13522579
Response Delay – Node 2,0.13456792
Response Delay – Node 4,0.13126315
Demand Flexibility – Node 2,0.120388865
Demand Flexibility – Node 3,0.116430975
Demand Flexibility – Node 4,0.115811124
Response Delay – Node 1,0.11336432
Demand Flexibility – Node 1,0.09077698
Power Balance – Node 1,0.01533279
Power Balance – Node 4,0.0092016505
Power Balance – Node 2,0.009120722
Power Balance – Node 3,0.008515641
