Model,Accuracy,Precision,Recall,F1-score
XGBoost,0.9799166666666667,0.9799002766825599,0.9799166666666667,0.9798948402742949
Random Forest,0.94575,0.9457540498177259,0.94575,0.9454559525055211
Decision Tree,0.8914166666666666,0.8913280033044718,0.8914166666666666,0.8913704346459828
KNN,0.887,0.8871273897058825,0.887,0.8853209830944424
Gaussian Naive Bayes,0.8285,0.8287113749108106,0.8285,0.8234525393728135
Logistic Regression,0.8135833333333333,0.8113731049989774,0.8135833333333333,0.8116893673697209
SVM,0.6438333333333334,0.6811547103495611,0.6438333333333334,0.6507503967603063
